id_detalle;linea_orden;orden_id_orden;vendedor_id_vendedor;cantidad;producto_id_producto
1;7;1;18;3;6358
2;3;1;57;2;2778
3;5;1;67;2;3648
4;8;1;68;2;1417
5;2;1;79;3;3353
6;4;1;80;2;4774
7;6;1;88;3;9523
8;1;1;96;1;9117
9;6;2;3;2;6376
10;3;2;6;1;9990
11;4;2;31;3;5130
12;2;2;46;1;1298
13;7;2;52;3;4936
14;1;2;68;2;1567
15;8;2;71;3;2926
16;5;2;77;1;6127
17;9;3;6;3;2383
18;6;3;16;2;8903
19;2;3;22;3;8078
20;3;3;28;3;698
21;5;3;42;2;1923
22;1;3;47;2;2834
23;7;3;50;1;642
24;4;3;68;1;5260
25;8;3;98;1;4578
26;2;4;61;3;5126
27;4;4;81;3;4377
28;5;4;85;3;9309
29;3;4;92;1;5317
30;1;4;94;3;3753
31;3;5;17;1;8293
32;1;5;32;1;6879
33;2;5;84;3;4402
34;4;5;96;3;2290
35;2;6;7;3;4396
36;3;6;20;3;3985
37;4;6;20;3;6843
38;5;6;36;1;4825
39;1;6;59;3;6574
40;6;6;62;3;9503
41;3;7;22;1;4471
42;2;7;35;1;7861
43;4;7;50;1;1876
44;1;7;75;1;6196
45;4;8;4;2;6845
46;5;8;11;2;7498
47;6;8;20;1;2942
48;2;8;36;3;4955
49;1;8;38;1;1032
50;9;8;47;3;1255
51;8;8;56;3;1524
52;3;8;59;3;9848
53;7;8;64;1;5845
54;7;9;11;1;5203
55;1;9;13;2;526
56;5;9;18;3;6395
57;9;9;38;3;4615
58;3;9;47;3;7978
59;8;9;47;1;700
60;6;9;50;1;935
61;2;9;77;1;1763
62;4;9;96;3;6566
63;1;10;3;1;10000
64;2;10;76;1;8900
65;1;11;62;3;42
66;3;12;32;2;5795
67;4;12;44;1;6874
68;1;12;60;3;9131
69;2;12;80;2;3591
70;4;13;25;3;8333
71;2;13;26;2;7479
72;5;13;31;3;8733
73;6;13;40;3;9795
74;8;13;48;2;6669
75;3;13;79;3;355
76;7;13;93;3;9034
77;1;13;95;3;5770
78;9;13;97;3;1640
79;2;14;13;1;7007
80;3;14;62;1;3288
81;1;14;96;1;6295
82;6;15;11;3;3364
83;5;15;24;2;9444
84;1;15;33;3;5107
85;4;15;48;2;4715
86;2;15;70;2;2801
87;3;15;77;1;7193
88;6;16;9;3;4140
89;1;16;20;1;8333
90;5;16;32;1;6219
91;4;16;40;1;7121
92;2;16;53;2;6755
93;3;16;90;1;4820
94;1;17;13;2;6092
95;2;17;30;1;7308
96;1;18;21;1;6532
97;3;18;24;3;2605
98;4;18;27;1;6862
99;2;18;46;1;5325
100;5;18;48;2;1113
101;6;18;65;2;5767
102;7;18;70;1;6666
103;1;19;26;1;9844
104;2;19;64;1;8274
105;8;20;35;3;9097
106;4;20;37;3;9431
107;1;20;38;3;7649
108;7;20;49;3;2973
109;2;20;52;3;1212
110;5;20;52;1;8620
111;9;20;74;2;4982
112;3;20;87;3;3839
113;6;20;92;2;7937
114;5;21;25;2;6032
115;2;21;48;1;4960
116;3;21;64;3;1805
117;1;21;79;3;4637
118;4;21;83;1;7276
119;1;22;37;1;4986
120;2;22;72;2;1383
121;2;23;14;2;4961
122;4;23;32;1;6089
123;1;23;56;3;8369
124;5;23;59;1;1513
125;6;23;73;2;1079
126;3;23;87;2;3944
127;1;24;27;3;4274
128;5;25;4;2;8300
129;2;25;28;2;8831
130;6;25;38;1;2444
131;7;25;55;2;7294
132;3;25;62;1;5178
133;4;25;77;2;5576
134;1;25;94;1;4875
135;2;26;44;3;7833
136;1;26;100;1;4108
137;3;27;29;2;2109
138;5;27;62;2;996
139;6;27;77;2;3018
140;1;27;83;2;492
141;7;27;85;1;8091
142;2;27;99;3;9865
143;4;27;100;1;8652
144;6;28;14;1;4766
145;2;28;24;2;1192
146;5;28;32;3;3043
147;4;28;42;2;5951
148;8;28;74;2;6190
149;3;28;75;2;5787
150;1;28;82;2;6921
151;7;28;95;2;6098
152;1;29;98;1;9238
153;1;30;21;3;3572
154;2;30;46;3;3443
155;3;30;85;1;6592
156;1;31;9;1;3082
157;6;31;11;2;3157
158;5;31;12;2;2004
159;2;31;13;2;1981
160;4;31;21;3;7823
161;8;31;31;1;5329
162;7;31;78;2;2310
163;3;31;95;3;1098
164;2;32;19;2;2605
