id_orden;cliente_id_cliente;fecha_orden
1;7888;2023-01-27
2;4858;2023-01-01
3;15399;2023-01-17
4;17019;2023-01-28
5;14771;2023-01-09
6;13734;2023-01-11
7;17622;2023-01-05
8;8331;2023-01-18
9;14902;2023-01-06
10;15112;2023-01-18
11;1082;2023-01-31
12;3608;2023-01-19
13;15146;2023-01-17
14;1540;2023-01-28
15;12662;2023-01-03
16;65;2023-01-14
17;12753;2023-01-21
18;4045;2023-01-23
19;5768;2023-01-25
20;8730;2023-01-06
21;5479;2023-01-06
22;14486;2023-01-26
23;18638;2023-01-11
24;5766;2023-01-12
25;5310;2023-01-19
26;6765;2023-01-31
27;2294;2023-01-10
28;1069;2023-01-02
29;16597;2023-01-08
30;4510;2023-01-15
31;15566;2023-01-08
32;292;2023-01-18
33;6240;2023-01-22
34;12854;2023-01-20
35;12380;2023-01-06
36;3726;2023-01-28
37;18532;2023-01-08
38;3340;2023-01-15
39;970;2023-01-16
40;16259;2023-01-18
41;9258;2023-01-23
42;5152;2023-01-29
43;11927;2023-01-21
44;15905;2023-01-16
45;3525;2023-01-20
46;2018;2023-01-29
47;5864;2023-01-14
48;16067;2023-01-24
49;18911;2023-01-28
50;10453;2023-01-07
51;15185;2023-01-07
52;16427;2023-01-17
53;868;2023-01-29
54;15146;2023-01-15
55;18452;2023-01-24
56;8688;2023-01-15
57;17614;2023-01-04
58;2442;2023-01-24
59;15606;2023-01-03
60;11554;2023-01-26
61;7747;2023-01-26
62;13335;2023-01-06
63;5407;2023-01-15
64;5893;2023-01-05
65;1536;2023-01-09
66;2014;2023-01-21
67;4489;2023-01-10
68;16173;2023-01-09
69;3870;2023-01-13
70;12808;2023-01-15
71;8529;2023-01-16
72;19733;2023-01-28
73;2807;2023-01-12
74;17382;2023-01-04
75;12456;2023-01-25
76;7691;2023-01-15
77;7011;2023-01-23
78;19921;2023-01-01
79;10955;2023-01-09
80;12310;2023-01-12
81;13507;2023-01-08
82;7706;2023-01-07
83;4940;2023-01-17
84;5329;2023-01-20
85;13076;2023-01-31
86;2777;2023-01-25
87;3345;2023-01-04
88;17189;2023-01-25
89;2284;2023-01-29
90;9578;2023-01-21
91;2023;2023-01-04
92;19791;2023-01-24
93;7879;2023-01-26
94;18507;2023-01-02
95;5134;2023-01-04
96;931;2023-01-23
97;4986;2023-01-17
98;9623;2023-01-13
99;7907;2023-01-17
100;11368;2023-01-13
101;10792;2023-01-02
102;14140;2023-01-21
103;8779;2023-01-16
104;17236;2023-01-25
105;10381;2023-01-31
106;7022;2023-01-19
107;16437;2023-01-02
